Джерело,"Час формулювання Google
Gemini Fast","Час формулювання OpenAI
ChatGPT GPT-5.2","Час формулювання Microsoft
Edge Copilot Smart"
Питання 1,8,6,9
Питання 2,7,6,10
Питання 3,5,6,8
Питання 4,8,6,12
Питання 5,5,9,10
Питання 6,8,6,9
Питання 7,5,7,9
Питання 8,5,7,13
Питання 9,7,8,8
Питання 10,5,7,14
Питання 11,8,9,15
Питання 12,8,6,10
Питання 13,8,9,8
Питання 14,8,6,15
Питання 15,8,7,11
Питання 16,5,6,8
Питання 17,6,8,10
Питання 18,8,8,12
Питання 19,8,9,15
Питання 20,8,7,15
Питання 21,7,9,11
Питання 22,7,8,12
Питання 23,7,7,9
Питання 24,7,6,10
Питання 25,6,8,15
Питання 26,5,9,13
